1:binCentralValue 2:valuesAverage 3:multiplicity
15.75 9.157081478257434e-43 48870
16 9.770323611353571e-43 50963
16.25 1.003703652715071e-42 51576
16.5 9.823431120946771e-43 49316
16.75 1.010280811595026e-42 49344
17 1.003253952493265e-42 47192
17.25 1.040771073951864e-42 47576
17.5 1.023584696962513e-42 45348
17.75 1.026140627439776e-42 44060
18 1.045584461346817e-42 43872
18.25 1.047253125605752e-42 41756
18.5 1.080245099323341e-42 41528
18.75 1.036777443182405e-42 39300
19 1.04918753840016e-42 38276
19.25 1.053291580690732e-42 36900
19.5 1.029317390541815e-42 34724
19.75 1.060695755719459e-42 33960
20 1.030523667224483e-42 32144
20.25 1.024071765391789e-42 30704
20.5 1.001757646881046e-42 28896
20.75 9.767144645415248e-43 26924
21 9.63949460749797e-43 25656
21.25 9.200643576907332e-43 23228
21.5 8.776426043202278e-43 21816
21.75 8.148638195190795e-43 19472
22 7.69654114913271e-43 17696
22.25 6.910588885923846e-43 15588
22.5 5.999633854461629e-43 13760
22.75 5.243094282502521e-43 11565
23 4.623897109718533e-43 10016
23.25 3.990034471057544e-43 8652
23.5 3.555047942210968e-43 7652
23.75 3.064154045413781e-43 6542
24 2.706382342431133e-43 5478
24.25 2.465049969493222e-43 4886
24.5 2.138052775624326e-43 4068
24.75 1.706709441524803e-43 3326
25 1.381039964537953e-43 2696
25.25 1.257479302461234e-43 2304
25.5 1.018011577005503e-43 1934
25.75 6.982954563953512e-44 1344
26 4.509195115389262e-44 848
26.25 5.14363303893853e-44 888
26.5 3.54274340053997e-44 584
26.75 2.108813553473854e-44 344
27 6.315146936310334e-45 102
27.25 5.527585884617115e-45 104
27.5 7.935290789423056e-46 24
27.75 5.684365358634728e-49 1

0.25 1.485786503759431e-26 18
0.5 4.073580719380929e-27 62
0.75 5.848218814981204e-27 98
1 4.652989242877277e-26 210
1.25 9.941736672942218e-26 350
1.5 7.626075194481888e-26 450
1.75 3.839288684847399e-26 602
2 2.854340528287941e-25 762
2.25 1.596814920734609e-25 1142
2.5 1.514555273244375e-26 1250
2.75 4.93316552094179e-27 1458
3 5.779355724344267e-27 1814
3.25 4.185127129374972e-27 2178
3.5 2.897181031175361e-27 2498
3.75 2.401615445275379e-27 2622
4 2.797655639960201e-27 3338
4.25 2.705515586205181e-27 3722
4.5 2.791033400848553e-27 4170
4.75 2.45414758524478e-27 4358
5 1.699750003143224e-27 5034
5.25 1.21477226469683e-27 5714
5.5 1.013547871647532e-27 5982
5.75 8.982733377090042e-28 6602
6 6.753015298064893e-28 7130
6.25 4.226501514186005e-28 8034
6.5 2.585630335012539e-28 8606
6.75 1.556754945099887e-28 9066
7 8.510005241570559e-29 9962
7.25 3.673814397633695e-29 10550
7.5 1.178681885279714e-29 11226
7.75 2.242366315673688e-30 12146
8 5.488875606574471e-32 12606
8.25 3.855898907192937e-40 13802
8.5 1.756179600946601e-40 14754
8.75 8.359785817842006e-41 15194
9 6.074322447208634e-41 16454
9.25 4.741195022853626e-41 17154
9.5 3.420459716693154e-41 18266
9.75 2.203583669666023e-41 18750
10 1.391101421195993e-41 20234
10.25 8.699802082525499e-42 21450
10.5 4.699073995609396e-42 21962
10.75 2.487126019684544e-42 23462
11 1.111200025314656e-42 24042
11.25 4.957810845222123e-43 25946
11.5 2.330400508015189e-43 26118
11.75 1.84229963502228e-43 27506
12 2.023904417235836e-43 29066
12.25 2.258335650517647e-43 30450
12.5 2.531257817171143e-43 31742
12.75 2.751420945364591e-43 32250
13 3.044490936694973e-43 34250
13.25 3.493657010297827e-43 35454
13.5 3.858386149919342e-43 36434
13.75 4.365373460181893e-43 37682
14 4.801539711682891e-43 39294
14.25 5.589422081656398e-43 41426
14.5 5.904071799740634e-43 42066
14.75 6.647994742035468e-43 43490
15 7.35545700800489e-43 45702
15.25 7.941348741619384e-43 46634
15.5 8.814892128115881e-43 48554
15.75 9.138668404094557e-43 48870
16 9.823852702867585e-43 50963
16.25 1.024937379917937e-42 51576
16.5 1.002229737447606e-42 49316
16.75 1.029843871422107e-42 49344
17 1.016074448746213e-42 47192
17.25 1.059308402108312e-42 47576
17.5 1.055745936583472e-42 45348
17.75 1.033841541314487e-42 44060
18 1.063957958258039e-42 43872
18.25 1.062562014722302e-42 41756
18.5 1.096369201433859e-42 41528
18.75 1.059029362585901e-42 39300
19 1.062577077404567e-42 38276
19.25 1.072923149839068e-42 36900
19.5 1.043357247134189e-42 34724
19.75 1.065457570138032e-42 33960
20 1.059907826773823e-42 32144
20.25 1.053804284543654e-42 30704
20.5 1.01982859591896e-42 28896
20.75 9.947736575291887e-43 26924
21 9.787861422957406e-43 25656
