1:binCentralValue 2:valuesAverage 3:multiplicity
2.12132 5.498374494527541e-22 98
2.82843 1.29064320838101e-21 210
3.53554 1.801092737879208e-21 350
4.24264 5.153908708956658e-22 450
4.94975 6.63230034809312e-23 602
5.65686 5.646331440258301e-24 762
6.36396 1.158261473758656e-24 1142
7.07107 5.707260382520612e-25 1250
7.77818 1.025304952045797e-25 1458
8.48528 4.710473123421834e-26 1814
9.19239 2.704507044340234e-26 2178
9.8995 1.326013558972659e-26 2498
10.6066 4.847518583016602e-27 2622
11.3137 1.000157967154382e-28 3338
12.0208 2.840260629999887e-37 3722
12.7279 4.771495961742562e-38 4170
13.435 8.204118674096339e-39 4358
14.1421 2.29109567523511e-39 5034
14.8492 6.340575653876331e-40 5714
15.5564 1.764161171626907e-40 5982
16.2635 8.154950730439668e-41 6602
16.9706 8.984958821593058e-41 7130
17.6777 1.352551358669337e-40 8034
18.3848 1.989308202253053e-40 8606
19.0919 2.463392884087245e-40 9066
19.799 3.04159870196808e-40 9962
20.5061 3.720621710170699e-40 10550
21.2132 4.834907570868732e-40 11226
21.9203 5.90390862884461e-40 12146
22.6274 6.589058150765127e-40 12303
23.3345 6.784972205597432e-40 12584
24.0416 6.466745978845179e-40 12120
24.7487 5.781347301615385e-40 11180
25.4559 5.781733071479044e-40 11096
26.163 5.423652006144149e-40 10056
26.8701 5.119673284037489e-40 9716
27.5772 4.680829854901436e-40 8604
28.2843 4.549594053327577e-40 8060
28.9914 4.322031542641829e-40 7320
29.6985 3.951284761837077e-40 6356
30.4056 3.557609328486697e-40 5348
31.1127 3.112061537173405e-40 4308
31.8198 2.5345364723969e-40 3563
32.5269 1.831200982120235e-40 2448
33.234 1.346848871111965e-40 1868
33.9411 1.011204702522397e-40 1358
34.6482 8.428913676142391e-41 1062
35.3554 6.376402045065184e-41 776
36.0625 3.554739201836639e-41 432
36.7696 1.758296609396973e-41 200
37.4767 1.408773751507054e-41 168
38.1838 4.279064507784665e-42 56
38.8909 5.120097393587702e-43 7

0.707107 3.522771288505761e-21 18
1.41421 1.4861938678188e-20 62
2.12132 2.830740320940917e-20 98
2.82843 1.191427664770021e-19 210
3.53554 9.181832952224307e-20 350
4.24264 1.643589175437708e-20 450
4.94975 7.654050128636911e-22 602
5.65686 2.514197924954443e-23 762
6.36396 6.618781303391527e-24 1142
7.07107 5.034000934803138e-24 1250
7.77818 3.612959441086635e-25 1458
8.48528 5.016807151771315e-26 1814
9.19239 2.846258129059012e-26 2178
9.8995 1.471732900511047e-26 2498
10.6066 4.809932921056416e-27 2622
11.3137 1.228543100975424e-28 3338
12.0208 7.510251212909446e-37 3722
12.7279 5.616584466549963e-38 4170
13.435 6.473584767081643e-39 4358
14.1421 2.019583811162198e-39 5034
14.8492 7.720188874964484e-40 5714
15.5564 4.57823296976718e-40 5982
16.2635 4.07507095850409e-40 6602
16.9706 4.889685642688032e-40 7130
17.6777 6.594311226407443e-40 8034
18.3848 8.705032362983606e-40 8606
19.0919 1.092853620144714e-39 9066
19.799 1.356421910297703e-39 9962
20.5061 1.64880477864265e-39 10550
21.2132 1.994181531779765e-39 11226
21.9203 2.40918974563021e-39 12146
22.6274 2.48074802072474e-39 12303
23.3345 2.201448804494186e-39 12584
24.0416 1.774239268194225e-39 12120
24.7487 1.396403228019334e-39 11180
25.4559 1.149225654674765e-39 11096
26.163 8.549627792103395e-40 10056
26.8701 6.66948177224199e-40 9716
27.5772 4.736222610656365e-40 8604
28.2843 3.734582536200862e-40 8060
28.9914 3.040723862314183e-40 7320
29.6985 2.479668940686381e-40 6356
30.4056 1.940565778721238e-40 5348
31.1127 1.523263021986074e-40 4308
31.8198 1.209926360880675e-40 3563
32.5269 7.65776162968014e-41 2448
33.234 5.635087610750349e-41 1868
33.9411 4.003487714601747e-41 1358
34.6482 3.180186286770653e-41 1062
35.3554 2.155536724362905e-41 776
36.0625 1.413006405980364e-41 432
36.7696 6.94283643136202e-42 200
37.4767 4.821505240247152e-42 168
38.1838 1.849722058533878e-42 56
38.8909 3.341968928822673e-43 7

0.707107 2.140339583244266e-20 18
1.41421 3.588358173620283e-20 62
2.12132 3.18876426381708e-20 98
2.82843 7.689842974990123e-20 210
3.53554 3.093322195237563e-19 350
4.24264 1.756911175500512e-19 450
4.94975 7.520024053070257e-21 602
5.65686 1.935338687467371e-22 762
6.36396 5.203239202528755e-23 1142
7.07107 1.919957966752147e-23 1250
7.77818 1.383173915961351e-24 1458
8.48528 9.672610536863522e-26 1814
9.19239 2.700281833849111e-26 2178
9.8995 1.20615191569279e-26 2498
10.6066 4.797841637084018e-27 2622
11.3137 1.048266711162804e-28 3338
12.0208 5.712551373787776e-36 3722
12.7279 4.077903265801646e-37 4170
13.435 1.573722997672879e-38 4358
14.1421 3.252630972009429e-39 5034
14.8492 3.087461424683685e-39 5714
15.5564 3.074976610447834e-39 5982
16.2635 3.107389940374595e-39 6602
16.9706 3.624010281926838e-39 7130
17.6777 5.296546172559458e-39 8034
18.3848 7.429388518980829e-39 8606
19.0919 9.593313472566736e-39 9066
19.799 1.179674129876408e-38 9962
20.5061 1.343999178509842e-38 10550
21.2132 1.69515173940666e-38 11226
21.9203 2.091501139519335e-38 12146
22.6274 2.142211239064455e-38 12303
23.3345 1.975739361048524e-38 12584
24.0416 1.712464766883702e-38 12120
24.7487 1.388396455265854e-38 11180
25.4559 1.194579483879993e-38 11096
26.163 9.564700066700791e-39 10056
26.8701 7.935218158343216e-39 9716
27.5772 6.183303981158892e-39 8604
28.2843 5.410907444653583e-39 8060
28.9914 4.646244898959228e-39 7320
29.6985 3.884748721625229e-39 6356
30.4056 3.417992000348452e-39 5348
31.1127 2.716530624155725e-39 4308
31.8198 2.124633135202085e-39 3563
32.5269 1.348720396291383e-39 2448
33.234 9.845965125227797e-40 1868
33.9411 7.087103830389337e-40 1358
34.6482 5.608826905490182e-40 1062
35.3554 3.944463130280243e-40 776
36.0625 2.148321185287433e-40 432
36.7696 9.120905640660495e-41 200
37.4767 9.000797730164554e-41 168
38.1838 2.660300754019623e-41 56
38.8909 2.899942921075222e-42 7

0.707107 9.350999681936359e-19 18
1.41421 3.729239883125e-18 62
2.12132 8.442630584702089e-18 98
2.82843 2.844612761746772e-17 210
3.53554 4.576322100154469e-18 350
4.24264 6.261407194275475e-19 450
4.94975 5.354998965324048e-20 602
5.65686 1.631328238957546e-20 762
6.36396 2.818922273532025e-22 1142
7.07107 1.614714014172956e-22 1250
7.77818 3.709821890434203e-23 1458
8.48528 1.897790210575868e-25 1814
9.19239 3.887387967764009e-26 2178
9.8995 1.510281326734688e-26 2498
10.6066 5.340413363795323e-27 2622
11.3137 1.249483586523702e-28 3338
12.0208 2.651315801991139e-35 3722
12.7279 1.152977831050597e-36 4170
13.435 2.44763591383031e-38 4358
14.1421 9.096841936711576e-39 5034
14.8492 1.273725583585802e-38 5714
15.5564 1.256409116719822e-38 5982
16.2635 1.498944682866352e-38 6602
16.9706 1.979293407710933e-38 7130
17.6777 2.815578767909288e-38 8034
18.3848 3.885576348372833e-38 8606
19.0919 4.552837630371747e-38 9066
19.799 6.020842007414522e-38 9962
20.5061 7.10387868004485e-38 10550
21.2132 8.999039190806831e-38 11226
21.9203 1.054265573099706e-37 12146
22.6274 1.107525368767344e-37 12303
23.3345 1.041537899307467e-37 12584
24.0416 8.994606358231269e-38 12120
24.7487 7.401161969232794e-38 11180
25.4559 6.526267703756005e-38 11096
26.163 5.133603410303743e-38 10056
26.8701 4.356271973455117e-38 9716
27.5772 3.486965095727109e-38 8604
28.2843 3.015576525522078e-38 8060
28.9914 2.726288646182167e-38 7320
29.6985 2.332782093335049e-38 6356
30.4056 1.996996933496866e-38 5348
31.1127 1.720890044560913e-38 4308
31.8198 1.467869595131299e-38 3563
32.5269 9.814153322531922e-39 2448
33.234 7.686374713093351e-39 1868
33.9411 6.003991259480514e-39 1358
34.6482 4.998798261127162e-39 1062
35.3554 3.360519062530889e-39 776
36.0625 2.090645402560557e-39 432
36.7696 9.717377361528686e-40 200
37.4767 7.789314428210133e-40 168
38.1838 2.255897175486706e-40 56
38.8909 2.761322018765155e-41 7

0.707107 5.440480219389857e-17 18
1.41421 3.14685556163847e-16 62
2.12132 8.124239310309221e-16 98
2.82843 3.070083251538223e-15 210
3.53554 1.827722660364086e-15 350
4.24264 1.98955687874113e-16 450
4.94975 1.532923884325649e-18 602
5.65686 4.012405547666283e-19 762
6.36396 1.29407397405318e-21 1142
7.07107 4.91195407296576e-22 1250
7.77818 1.121666478626908e-22 1458
8.48528 5.112541323777165e-25 1814
9.19239 4.181958345118146e-26 2178
9.8995 1.36238966421293e-26 2498
10.6066 5.14902335776695e-27 2622
11.3137 1.203604178648393e-28 3338
12.0208 2.178665158432308e-34 3722
12.7279 1.334636904444844e-35 4170
13.435 2.410981583853357e-37 4358
14.1421 5.086042040636348e-38 5034
14.8492 5.471064508252987e-38 5714
15.5564 5.857424296547613e-38 5982
16.2635 6.128168680176535e-38 6602
16.9706 6.468946192374169e-38 7130
17.6777 9.220293322066679e-38 8034
18.3848 1.624398635547957e-37 8606
19.0919 2.309815856041915e-37 9066
19.799 2.74810610853311e-37 9962
20.5061 2.963555128779641e-37 10550
21.2132 3.674395512570089e-37 11226
21.9203 4.689994406072036e-37 12146
22.6274 4.867040690039033e-37 12303
23.3345 5.038350543706852e-37 12584
24.0416 4.709179896537762e-37 12120
24.7487 3.959025815346704e-37 11180
25.4559 3.866761402589414e-37 11096
26.163 3.480962724788197e-37 10056
26.8701 3.192308366100735e-37 9716
27.5772 2.849839806476515e-37 8604
28.2843 2.828553496196007e-37 8060
28.9914 2.828097662417654e-37 7320
29.6985 2.695980230285339e-37 6356
30.4056 2.462674422025287e-37 5348
31.1127 2.164214589093284e-37 4308
31.8198 1.835388913690676e-37 3563
32.5269 1.380545885769301e-37 2448
33.234 1.102415751722678e-37 1868
33.9411 8.255584768172677e-38 1358
34.6482 6.898788648908721e-38 1062
35.3554 5.180921222762544e-38 776
36.0625 3.07696257889418e-38 432
36.7696 1.299330502007536e-38 200
37.4767 1.0833983900531e-38 168
38.1838 3.732617073135414e-39 56
38.8909 6.432538166414945e-40 7

0.707107 1.278934701503149e-14 18
1.41421 4.79494606014381e-14 62
2.12132 7.066270598552526e-14 98
2.82843 3.161020811672053e-13 210
3.53554 5.519779261937382e-13 350
4.24264 1.102994598538286e-13 450
4.94975 7.056164811221401e-16 602
5.65686 2.604493183058092e-17 762
6.36396 4.78985857489856e-20 1142
7.07107 9.901375122597781e-21 1250
7.77818 6.147544340864153e-22 1458
8.48528 1.601117750973693e-24 1814
9.19239 8.676243188790849e-26 2178
9.8995 1.41797216256457e-26 2498
10.6066 5.359128511013236e-27 2622
11.3137 1.377367903128778e-28 3338
12.0208 2.450178786821144e-32 3722
12.7279 2.950512833324057e-34 4170
13.435 3.332937896160846e-36 4358
14.1421 4.36694995853435e-37 5034
14.8492 7.533600368635758e-37 5714
15.5564 8.591082768456493e-37 5982
16.2635 1.002379715817918e-36 6602
16.9706 1.218098736711298e-36 7130
17.6777 1.805379173530336e-36 8034
18.3848 2.4590749147681e-36 8606
19.0919 2.996979733938755e-36 9066
19.799 3.791712091640315e-36 9962
20.5061 4.850953983280023e-36 10550
21.2132 6.358822005923285e-36 11226
21.9203 8.236879527580078e-36 12146
22.6274 8.633205727936485e-36 12303
23.3345 8.498271192239037e-36 12584
24.0416 8.242806642099398e-36 12120
24.7487 7.254086607207688e-36 11180
25.4559 7.174403799188692e-36 11096
26.163 6.325917648274346e-36 10056
26.8701 6.027394638626811e-36 9716
27.5772 5.510446153672827e-36 8604
28.2843 5.199947725725485e-36 8060
28.9914 4.952359892186022e-36 7320
29.6985 4.469041525890013e-36 6356
30.4056 3.986960950563548e-36 5348
31.1127 3.492828765688437e-36 4308
31.8198 2.961791590082195e-36 3563
32.5269 2.035528579500709e-36 2448
33.234 1.602330641466297e-36 1868
33.9411 1.121400267416008e-36 1358
34.6482 9.557214760173288e-37 1062
35.3554 7.356890604105151e-37 776
36.0625 4.179061291364416e-37 432
36.7696 2.060275255959684e-37 200
37.4767 1.787736417429968e-37 168
38.1838 5.950242664816116e-38 56
38.8909 8.115159814794423e-39 7

0.707107 1.463464142013682e-14 18
1.41421 1.047529349123522e-13 62
2.12132 4.992836356679608e-13 98
2.82843 1.186883659925971e-12 210
3.53554 5.569006524949965e-13 350
4.24264 2.471747888576347e-13 450
4.94975 2.721446142459146e-15 602
5.65686 8.766064628879213e-17 762
6.36396 1.938160027654135e-18 1142
7.07107 2.862124979464399e-19 1250
7.77818 9.332667517953762e-21 1458
8.48528 1.11257797578829e-22 1814
9.19239 5.580147498791131e-24 2178
9.8995 9.482373114335747e-25 2498
10.6066 1.526157779443787e-25 2622
11.3137 1.209692712985013e-26 3338
12.0208 2.439442716112906e-28 3722
12.7279 1.927341837726685e-30 4170
13.435 1.440774983117541e-31 4358
14.1421 2.506287101760962e-32 5034
14.8492 1.919213661609433e-33 5714
15.5564 6.396463199977836e-35 5982
16.2635 3.931590575504945e-36 6602
16.9706 3.533823338192883e-36 7130
17.6777 4.626004906524373e-36 8034
18.3848 6.735301489801158e-36 8606
19.0919 9.543182941581611e-36 9066
19.799 1.245465721461395e-35 9962
20.5061 1.532677327764189e-35 10550
21.2132 1.923691580101499e-35 11226
21.9203 2.503182191899064e-35 12146
22.6274 2.544863472811113e-35 12303
23.3345 2.630638712665759e-35 12584
24.0416 2.462001282857735e-35 12120
24.7487 2.076715204058865e-35 11180
25.4559 1.91593605847475e-35 11096
26.163 1.554315764081231e-35 10056
26.8701 1.295203578947349e-35 9716
27.5772 9.85671272572018e-36 8604
28.2843 8.585475444033774e-36 8060
28.9914 7.553776700553144e-36 7320
29.6985 6.378369396081362e-36 6356
30.4056 5.517517393358488e-36 5348
31.1127 4.405368795104427e-36 4308
31.8198 3.468601934925074e-36 3563
32.5269 2.115086413866485e-36 2448
33.234 1.591908488632575e-36 1868
33.9411 1.168535335081849e-36 1358
34.6482 8.792682878634747e-37 1062
35.3554 7.191978938886668e-37 776
36.0625 3.480518479780886e-37 432
36.7696 1.638014779341871e-37 200
37.4767 1.288798310272358e-37 168
38.1838 4.08357652658178e-38 56
38.8909 4.344699756434947e-39 7

0.707107 2.421448012422425e-11 18
1.41421 8.99272737075776e-11 62
2.12132 1.837205050981115e-10 98
2.82843 5.268977631590832e-10 210
3.53554 5.298389347396906e-10 350
4.24264 1.130121990416941e-10 450
4.94975 3.345119063362231e-13 602
5.65686 2.329060423044377e-15 762
6.36396 6.177162532112949e-16 1142
7.07107 5.851346859131976e-17 1250
7.77818 1.232252072991335e-17 1458
8.48528 8.06395379221266e-19 1814
9.19239 7.404703301043981e-21 2178
9.8995 8.033341592949163e-22 2498
10.6066 2.609258750515134e-22 2622
11.3137 5.326924522334628e-23 3338
12.0208 1.632446666651371e-24 3722
12.7279 6.43674160894468e-26 4170
13.435 2.813307244598247e-27 4358
14.1421 2.614426949970877e-28 5034
14.8492 8.490739132453333e-29 5714
15.5564 8.911653540017791e-30 5982
16.2635 3.215702223015574e-31 6602
16.9706 1.786787681686177e-32 7130
17.6777 2.019083516220648e-33 8034
18.3848 1.770850269109726e-34 8606
19.0919 1.152160405607005e-34 9066
19.799 1.426856012705101e-34 9962
20.5061 1.817424437505655e-34 10550
21.2132 2.348330022674704e-34 11226
21.9203 2.935982827597039e-34 12146
22.6274 3.229811275537479e-34 12303
23.3345 3.248961425261895e-34 12584
24.0416 3.285306289024939e-34 12120
24.7487 2.991852069855756e-34 11180
25.4559 3.014892219502816e-34 11096
26.163 2.746139370567631e-34 10056
26.8701 2.617630388281955e-34 9716
27.5772 2.353899820750654e-34 8604
28.2843 2.264554756804987e-34 8060
28.9914 2.135156717975736e-34 7320
