1:binCentralValue 2:valuesAverage 3:multiplicity
5 1.69984379062295e-27 5034
5.25 1.214884171141347e-27 5714
5.5 1.013667002466195e-27 5982
5.75 8.984312867538971e-28 6602
6 6.754165540197487e-28 7130
6.25 4.227233335248714e-28 8034
6.5 2.585967473173694e-28 8606
6.75 1.556919165938037e-28 9066
7 8.51074156393608e-29 9962
7.25 3.674081307618613e-29 10550
7.5 1.178758135542201e-29 11226
7.75 2.24251483819835e-30 12146
8 5.489256767727554e-32 12606
8.25 3.857380363152249e-40 13802
8.5 1.756715581268134e-40 14754
8.75 8.361302074154046e-41 15194
9 6.078447797221791e-41 16454
9.25 4.743782103971907e-41 17154
9.5 3.420477223122949e-41 18266
9.75 2.20195563475747e-41 18750
10 1.39200808503694e-41 20234
10.25 8.690518987644602e-42 21450
10.5 4.701365611771879e-42 21962
10.75 2.487189562689429e-42 23462
11 1.10865145985323e-42 24042
11.25 4.939911598576746e-43 25946
11.5 2.317059246982455e-43 26118
11.75 1.792137322169428e-43 27506
12 1.975007272345899e-43 29066
12.25 2.213832823204086e-43 30450
12.5 2.447602573279036e-43 31742
12.75 2.655897633216e-43 32250
13 2.995191092584028e-43 34250
13.25 3.470578520245092e-43 35454
13.5 3.795881019604497e-43 36434
13.75 4.28461105405233e-43 37682
14 4.710567481428316e-43 39294
14.25 5.519883482139337e-43 41426
14.5 5.855766197780587e-43 42066
14.75 6.54159796647391e-43 43490
15 7.26354349423787e-43 45702
15.25 7.934857665411305e-43 46634
15.5 8.553978082090167e-43 48554
15.75 9.008369254630817e-43 48870
16 9.728583057375974e-43 50963
16.25 1.000249203791368e-42 51576
16.5 9.866227015379922e-43 49316
16.75 1.009224576507504e-42 49344
17 1.000096235797935e-42 47192
17.25 1.042767822713636e-42 47576
17.5 1.023196047853357e-42 45348
17.75 1.023419457607649e-42 44060
18 1.051778214929021e-42 43872
18.25 1.040086867084386e-42 41756
18.5 1.063241852545116e-42 41528
18.75 1.044816182486885e-42 39300
19 1.062943194270499e-42 38276
19.25 1.069115585552125e-42 36900
19.5 1.030412926820993e-42 34724
19.75 1.055335903175617e-42 33960
20 1.03476704290371e-42 32144
20.25 1.036745161245089e-42 30704
20.5 1.016454349877825e-42 28896
20.75 9.693084794953632e-43 26924
21 9.769364803462679e-43 25656
21.25 9.296623573391073e-43 23228
21.5 8.871870875449144e-43 21816
21.75 8.188539220826857e-43 19472
22 7.589304094945583e-43 17696
22.25 6.979111106566651e-43 15588
22.5 6.273188711668583e-43 13760
22.75 5.20291717513534e-43 11565
23 4.628636760458128e-43 10016
23.25 3.999163486245774e-43 8652
23.5 3.622585917707343e-43 7652
23.75 3.143309279544276e-43 6542
24 2.718288937913852e-43 5478
24.25 2.467159638198216e-43 4886
24.5 2.079137861270612e-43 4068
24.75 1.712195086888378e-43 3326
25 1.417572400606486e-43 2696
25.25 1.207658354965814e-43 2304
25.5 1.046605568193423e-43 1934
25.75 6.635875329765921e-44 1344
26 4.532871825738068e-44 848
26.25 4.945952308572018e-44 888
26.5 3.67286204465477e-44 584
26.75 1.98833314934318e-44 344
27 4.743230161326711e-45 102
27.25 5.407767695178817e-45 104
27.5 9.469399619386648e-46 24
27.75 1.891532532083904e-48 1

0.25 1.650468272438632e-24 18
0.5 2.522170099927044e-24 62
0.75 1.448177524152459e-24 98
1 1.591018949110899e-24 210
1.25 7.059646136147452e-25 350
1.5 3.565232508737848e-25 450
1.75 9.177841662317564e-24 602
2 2.42133315932819e-23 762
2.25 1.432176584698039e-23 1142
2.5 2.764410895371837e-24 1250
2.75 5.94542001556281e-25 1458
3 9.949103602733744e-26 1814
3.25 1.142922175329976e-26 2178
3.5 6.542737607840759e-27 2498
3.75 5.503590075916709e-27 2622
4 6.064053884008749e-27 3338
4.25 6.318176645724523e-27 3722
4.5 8.206015249946471e-27 4170
4.75 1.147017441447355e-26 4358
5 5.070852394617946e-27 5034
5.25 1.351739512169336e-27 5714
5.5 1.042131792545455e-27 5982
5.75 9.203566546089885e-28 6602
6 6.993734378982745e-28 7130
6.25 4.315518783636586e-28 8034
6.5 2.658354518297413e-28 8606
6.75 1.595034816988277e-28 9066
7 8.527888162413618e-29 9962
7.25 3.691833678242973e-29 10550
7.5 1.206014247049916e-29 11226
7.75 2.341995336681432e-30 12146
8 5.902793003644342e-32 12606
8.25 1.865502232000235e-39 13802
8.5 6.267499089384831e-40 14754
8.75 1.658355087968898e-40 15194
9 7.630009028660704e-41 16454
9.25 5.27578743849878e-41 17154
9.5 3.759950714275009e-41 18266
9.75 2.358985148854976e-41 18750
10 1.521588077842501e-41 20234
10.25 9.337403657426923e-42 21450
10.5 5.058128755148775e-42 21962
10.75 2.6260131440498e-42 23462
11 1.159821026082382e-42 24042
11.25 5.169315350573799e-43 25946
11.5 2.381605691793833e-43 26118
11.75 1.820904763658399e-43 27506
12 1.990020144891881e-43 29066
12.25 2.253907653555128e-43 30450
12.5 2.50035499970153e-43 31742
12.75 2.69929789307892e-43 32250
13 3.068169613428169e-43 34250
13.25 3.498941195778131e-43 35454
13.5 3.913574072131406e-43 36434
13.75 4.329936188524096e-43 37682
14 4.929609506785081e-43 39294
14.25 5.559387180576252e-43 41426
14.5 6.115836693588705e-43 42066
14.75 6.70668238371437e-43 43490
15 7.386158643708937e-43 45702
15.25 8.010242684606623e-43 46634
15.5 8.870746783120587e-43 48554
15.75 9.370370939024975e-43 48870
16 9.901529501222731e-43 50963
16.25 1.021561470830975e-42 51576
16.5 1.009299240766574e-42 49316
16.75 1.030065118115549e-42 49344
17 1.023833278418521e-42 47192
17.25 1.068156287416329e-42 47576
17.5 1.051217629993383e-42 45348
17.75 1.05030270164767e-42 44060
18 1.090648354249341e-42 43872
18.25 1.063987206586431e-42 41756
18.5 1.091689629912258e-42 41528
18.75 1.073771263134364e-42 39300
19 1.088406427211563e-42 38276
19.25 1.097825279901538e-42 36900
19.5 1.054715720655901e-42 34724
19.75 1.080900109725806e-42 33960
20 1.057256563586031e-42 32144
20.25 1.043241795234438e-42 30704
20.5 1.046576150823936e-42 28896
20.75 9.902255164999267e-43 26924
21 1.009430824092787e-42 25656
21.25 9.455133404209919e-43 23228
21.5 9.237062758881913e-43 21816
21.75 8.40135247728971e-43 19472
22 7.860708380222298e-43 17696
22.25 7.143069618903371e-43 15588
22.5 6.393350815826326e-43 13760
22.75 5.333216436542908e-43 11565
