1:binCentralValue 2:valuesAverage 3:valuesAverage 4:multiplicity
1.25 9.998418349704747e-16 6.110603532152779e-15 350
1.5 7.878694707914091e-16 7.388705481654909e-15 450
1.75 4.69858612615614e-16 9.550139552992539e-15 602
2 2.180816960720338e-16 1.283310354035442e-14 762
2.25 5.404256921038428e-17 1.761650939162747e-14 1142
2.5 2.980285795469326e-16 9.403611800814009e-15 1250
2.75 5.142292734367242e-16 2.594092162369062e-15 1458
3 2.334291141965179e-16 6.883127801575833e-16 1814
3.25 4.435724846447831e-17 3.264102710102336e-16 2178
3.5 1.641633779806946e-17 1.823197183919203e-16 2498
3.75 1.595295553069694e-17 1.976843394526956e-16 2622
4 1.010528112198367e-17 1.249112461294209e-16 3191
4.25 6.330309357740346e-23 1.642720842874525e-21 3044
4.5 3.475216104753637e-23 1.019280500968167e-21 2736
4.75 1.911224244114664e-23 4.809597223003038e-22 2276
5 1.113468726763716e-23 1.786754163526046e-22 2016
5.25 3.968889013392245e-24 4.719702985646079e-23 1640
5.5 4.386229970813765e-25 3.221218766460679e-24 1056
5.75 9.453681239504058e-27 6.780751367633648e-26 683
6 5.665597241582592e-29 4.593156177608462e-29 350
6.25 4.608431610969173e-30 1.17193135278303e-29 192
6.5 2.638721432005524e-31 2.568016505133074e-30 44
6.75 1.096592108709753e-31 5.59977195443332e-31 24
7 7.180553882950554e-33 2.320779253896005e-31 1

0.25 2.880935427492096e-15 3.120165086676502e-14 18
0.5 7.004516065445682e-15 7.520227047710178e-14 62
0.75 1.354102166821482e-14 1.559584267887241e-13 98
1 2.275350067771427e-14 3.333371214957198e-13 210
1.25 2.053282513927988e-14 4.562807329553677e-13 350
1.5 1.317849925174786e-14 5.463816817175006e-13 450
1.75 7.15148399631949e-15 7.315187946663648e-13 602
2 3.292211489540747e-15 1.108012670084591e-12 762
2.25 1.503065684975589e-15 2.09187875726995e-12 1142
2.5 4.257673663710274e-15 2.226557925520224e-12 1250
2.75 1.828346924741495e-14 1.935692884916716e-12 1458
3 2.213386841574375e-14 8.083537491456056e-13 1814
3.25 5.821114083435228e-15 1.257231302562712e-13 2178
3.5 3.970529019366439e-16 6.067691606801782e-15 2498
3.75 2.364615125724888e-17 2.824613529867172e-16 2622
4 9.253367221721626e-18 9.519696128951313e-17 3191
4.25 3.735082517299279e-21 3.821055800367346e-20 3044
4.5 2.083989959358854e-21 1.750867523743365e-20 2736
4.75 1.000080348864037e-21 6.624418084694198e-21 2276
5 4.239237064901095e-22 2.439138044017053e-21 2016
5.25 1.526895494695916e-22 6.916928351917755e-22 1640
5.5 3.02796567401683e-23 8.164190909122392e-23 1056
5.75 3.750029326799127e-24 4.589038735896599e-24 683
6 2.547989570932034e-25 2.093905851598236e-25 350
6.25 1.504781953507775e-26 1.06527657908937e-26 192
6.5 1.651830138654575e-28 1.781196080568402e-28 44
6.75 5.975414177123061e-30 1.747890631127563e-29 24
7 7.65138855984251e-33 5.215477615855637e-33 1

0.25 1.20601752277465e-13 5.949795638198432e-13 18
0.5 2.216255834856487e-13 1.460774672470542e-12 62
0.75 3.128230160399088e-13 3.046074874532856e-12 98
1 4.221465566656741e-13 6.321210779578525e-12 210
1.25 2.832066106484102e-13 8.077342067725196e-12 350
1.5 9.73462349725042e-14 8.487046673178148e-12 450
1.75 9.548430633453166e-15 9.032821258533473e-12 602
2 1.30317359861269e-13 9.341563083504758e-12 762
2.25 8.993313894826702e-13 7.424610784837328e-12 1142
2.5 1.383657999796861e-12 1.444752811551715e-12 1250
2.75 9.542037253113768e-13 3.410850991529461e-12 1458
3 2.010310674365141e-13 4.448927382545599e-12 1814
3.25 2.052735435132052e-14 1.000888505949165e-12 2178
3.5 9.473109306206149e-16 5.32435431115371e-14 2498
3.75 2.533989496507589e-17 1.246449966723817e-15 2622
4 7.622122248337452e-18 9.735796733993935e-17 3191
4.25 5.755689915123606e-19 3.879238912404977e-19 3044
4.5 3.928858080772866e-19 1.673288432086048e-19 2736
4.75 1.974264865910665e-19 9.870160404499439e-20 2276
5 8.431332136379512e-20 6.200601410729369e-20 2016
5.25 2.988833672107723e-20 2.755417634522557e-20 1640
5.5 7.429176027109889e-21 9.642681446183234e-21 1056
5.75 1.027791387519899e-21 1.827639418068048e-21 683
6 6.47680171518284e-23 1.201317642949334e-22 350
6.25 3.337614084653562e-24 6.130530675436994e-24 192
6.5 3.568714411400401e-26 1.129636381020632e-25 44
6.75 1.782822488283739e-27 2.958335693993118e-26 24
7 4.122447900822105e-29 1.008032884326662e-27 1

0.25 1.289564322634998e-11 4.738935654976137e-11 18
0.5 2.954453410861765e-11 1.061110104074778e-10 62
0.75 5.876711908334471e-11 2.144001499265183e-10 98
1 1.110821947216706e-10 4.544383283480015e-10 210
1.25 1.24991790695471e-10 6.281629923582978e-10 350
1.5 1.118337089092164e-10 7.494681031178881e-10 450
1.75 1.082179263028689e-10 1.015596442198021e-09 602
2 1.233466303205328e-10 1.583482640222705e-09 762
2.25 1.888030953273094e-10 2.947683520276827e-09 1142
2.5 2.258151206514187e-10 2.858959333613749e-09 1250
2.75 2.68644376792643e-10 1.9648389413615e-09 1458
3 1.479877252220975e-10 5.57030483057164e-10 1814
3.25 2.42777824073896e-11 5.636872698789856e-11 2178
3.5 9.826790878698235e-13 1.557718097216835e-12 2498
3.75 2.949335545536994e-14 3.534834399860017e-14 2622
4 1.393961459974973e-14 6.587097157023061e-15 3191
4.25 9.08301206169772e-15 2.635325906027106e-15 3044
4.5 4.445711837135275e-15 2.097138551369626e-15 2736
4.75 1.804791008541087e-15 2.477424140646125e-15 2276
5 6.730176600588943e-16 1.88437816138368e-15 2016
5.25 2.18303049190446e-16 9.756934914207482e-16 1640
5.5 5.265039511481981e-17 3.638633076063577e-16 1056
5.75 7.459581142013765e-18 7.390478382788226e-17 683
6 4.617020709196504e-19 5.353340782990634e-18 350
6.25 2.79565522603999e-20 3.190641722660424e-19 192
6.5 9.850726306559394e-22 1.027292062527778e-20 44
6.75 2.940556827151007e-22 3.634320791235479e-21 24
7 8.190640957155701e-24 1.858510440330572e-22 1

0.25 5.707551332422079e-11 6.201009913476451e-10 18
0.5 8.452115481656753e-11 1.403635378082558e-09 62
0.75 9.1536761999987e-11 2.861610190138913e-09 98
1 8.339947056101713e-11 5.611782590463071e-09 210
1.25 2.005081964993388e-11 6.660928055920569e-09 350
1.5 2.568514349072334e-11 5.888313649851226e-09 450
1.75 2.098639550398602e-10 4.683254714912749e-09 602
2 7.100373143650265e-10 2.703213560850353e-09 762
2.25 1.80099771702616e-09 9.157284632971982e-10 1142
2.5 1.386588453899896e-09 8.835131197273608e-09 1250
2.75 4.0277160722749e-10 2.101705199396029e-08 1458
3 2.0871324001099e-10 1.188099483436896e-08 1814
3.25 6.989743390823865e-11 1.675229703482708e-09 2178
3.5 7.105454244567995e-12 9.948183086576003e-11 2498
3.75 4.223185337735499e-12 4.100577908961627e-11 2622
4 4.660541003287634e-12 3.184508292557412e-11 3191
4.25 3.545327969701287e-12 1.63633497770957e-11 3044
4.5 2.060385926947547e-12 5.236719284570039e-12 2736
4.75 9.140672957740835e-13 1.442063356612071e-12 2276
5 3.650147515660764e-13 4.69284340427538e-13 2016
5.25 1.290948181348287e-13 1.971520455626844e-13 1640
5.5 3.171552008330244e-14 8.036600182250744e-14 1056
5.75 4.967201040935408e-15 3.284589774814588e-14 683
6 5.96136113549143e-16 1.212469530855865e-14 350
6.25 1.626942206886269e-16 4.381682609134222e-15 192
6.5 2.591562325328207e-17 7.075822528471486e-16 44
6.75 1.032262611792797e-17 2.657905723531171e-16 24
7 4.753263007441229e-19 1.314909027933571e-17 1

0.25 3.552096859281927e-10 1.231618587999349e-09 18
0.5 1.644831913779793e-09 4.808887793408072e-09 62
0.75 3.444398033478242e-09 9.441566026385349e-09 98
1 7.443325414921326e-09 2.128006915590091e-08 210
1.25 9.526566900187797e-09 4.025381420468403e-08 350
1.5 1.16220777289539e-08 9.147459464123789e-08 450
1.75 1.5182813842032e-08 2.138178689041667e-07 602
2 1.767476166320979e-08 4.888342005511868e-07 762
2.25 3.918638013957366e-08 1.206986441476038e-06 1142
2.5 9.20644721430013e-08 1.379264114017808e-06 1250
2.75 1.77498358478691e-07 8.471800293441069e-07 1458
3 1.155995923637429e-07 1.798555039078639e-07 1814
3.25 2.046747176795959e-08 1.812036353740468e-08 2178
3.5 2.170315324261036e-09 3.840536546219912e-09 2498
3.75 1.700285330835049e-09 2.839360553081046e-09 2622
4 2.220446549999232e-09 2.200774816639582e-09 3191
4.25 1.87259040029186e-09 1.116125568081129e-09 3044
4.5 1.196851175655517e-09 8.115714730326901e-10 2736
4.75 6.456433469565162e-10 7.464494600028525e-10 2276
5 3.595522905239532e-10 6.622862068284558e-10 2016
5.25 1.869007597316577e-10 4.915242317758112e-10 1640
