1:binCentralValue 2:valuesAverage 3:multiplicity
27.5 2.013483029611023e-45 7

0.5 1.887786434741301e-21 18
1 3.611684795285085e-22 62
1.5 4.134545872695463e-21 98
2 2.625030546002554e-20 210
2.5 2.322252678519954e-21 350
3 3.864655320807295e-24 450
3.5 2.998760112133299e-25 602
4 1.361825307561246e-25 762
4.5 1.893620852567312e-25 1142
5 7.080131710998854e-26 1250
5.5 2.173350031697496e-27 1458
6 6.205181435087757e-28 1814
6.5 2.27379347354373e-28 2178
7 7.491871497724936e-29 2498
7.5 1.139988337481228e-29 2622
8 3.312453099748973e-31 3338
8.5 1.843794808236968e-38 3722
9 5.553018930621903e-40 4170
9.5 3.779467685920473e-41 4358
10 1.429302762097608e-41 5034
10.5 4.735253736582428e-42 5714
11 1.001972373369137e-42 5982
11.5 2.347480577662346e-43 6602
12 1.979970503631051e-43 7130
12.5 2.677859976587479e-43 8034
13 3.299410601404019e-43 8606
13.5 3.975043680729498e-43 9066
14 4.881440774996843e-43 9962
14.5 6.058798664559748e-43 10550
15 7.321155013629229e-43 11226
15.5 8.689593726911415e-43 12146
16 9.623471047186832e-43 12303
16.5 1.036530633374249e-42 12584
17 1.084858261355896e-42 12120
17.5 1.09532943491136e-42 11180
18 1.130983399498064e-42 11096
18.5 1.087712712437115e-42 10056
19 1.149086801143168e-42 9716
19.5 1.100866417339012e-42 8604
20 1.108031046211824e-42 8060
20.5 1.109171051965207e-42 7320
21 1.029059916774589e-42 6356
21.5 9.183768215986948e-43 5348
22 7.715343737321615e-43 4308
22.5 6.776917064452622e-43 3563
23 4.90067835656195e-43 2448
23.5 3.92199806498013e-43 1868
24 2.866697735321104e-43 1358
24.5 2.449825766741382e-43 1062
25 1.859586131813041e-43 776
25.5 9.585311842334698e-44 432
26 4.891618776146803e-44 200
26.5 4.711937742185189e-44 168
27 1.350505647158008e-44 56
27.5 2.392625875660287e-45 7

0.5 1.75499663271664e-19 18
1 3.20976777918716e-19 62
