#t    <|E|>    <|B|>    <|E|^2>    <|B|^2>    rms(|E|)    rms(|B|)
37.1231174999986    1792.35364005848    0.00169048402262844    3768701.55443846    3.42430128694156e-06    745.768049334088    0.000752705158863371
37.4766709999987    1749.02752730675    0.00214338429930102    3590369.56350043    5.50699962359803e-06    728.884265314925    0.000955459768440263
37.8302244999988    613.181120470764    0.00555584653827776    443326.92494854    3.68420448898663e-05    259.491499758197    0.00244430238165685
38.1837779999989    845.406483912156    0.00512012467134132    840970.393064588    3.13851169821746e-05    355.328397435209    0.00227364032601829
38.537331499999    861.846267411415    0.0119988948220768    870117.652646476    0.000170606216793727    356.845434320642    0.00516069179882566
38.8908849999991    1078.63953534002    0.0112125250114809    1365955.43149032    0.00014998004906412    449.991315795965    0.00492537632379869
39.2444384999992    2617.65865889314    0.00145135716010334    8035651.58713584    2.48334454829e-06    1087.89463306774    0.000613927473002115
39.5979919999993    2301.8513229533    0.00511094982929527    6222442.32265982    3.12131853308476e-05    961.209035370534    0.00225640802455457
39.9515454999994    1880.16621744997    0.0068981777104693    4156407.60248486    5.68605608544264e-05    788.278248618303    0.00304560423056098
40.3050989999995    1689.13469187766    0.0104415306941268    3339454.94912588    0.000129195518441665    697.337036031545    0.00449109732752162
40.6586524999996    1394.99160146729    0.0073970043673342    2281606.26963308    6.41320292881505e-05    579.313992122406    0.00306860810104341
41.0122059999997    1011.04947150639    0.0327695834623125    1197430.59598675    0.00127490596842233    418.580413007352    0.0141795757386765
41.3657594999998    2816.35321335894    0.0173370609452066    9294327.90671851    0.000355773915715045    1167.25425007634    0.00742968596222196
41.7193129999999    3080.57751226008    0.0105435427293273    11147592.1205135    0.00013292628095294    1287.49148015471    0.00466476019402825
42.0728665    2885.94242416295    0.0120917966187554    9792400.41061765    0.00017468366111097    1209.84988119772    0.00533592687746236
42.4264200000001    732.473303030434    0.0212494832526805    630167.274170861    0.000537186884020533    306.023094747025    0.00925453108021049
42.7799735000002    1595.97812295793    0.0203834226822532    3001541.88727842    0.000496467015837221    674.08880595816    0.00899906081732012
43.1335270000003    1781.01824339848    0.040459751492864    3717518.52457712    0.00193503589560936    738.574668709194    0.017263962602631
