1:binCentralValue 2:valuesAverage 3:multiplicity
9.19239 1.406652732329869e-27 2178
9.8995 1.902051445695017e-28 2498
10.6066 9.971522681669184e-30 2622
11.3137 3.533082937918388e-31 3338
12.0208 1.633688941884539e-38 3722
12.7279 1.965009456320561e-39 4170
13.435 3.747646471734011e-40 4358
14.1421 8.578148957640739e-41 5034
14.8492 2.846761113780106e-41 5714
15.5564 1.182694895472641e-41 5982
16.2635 8.859850796947243e-42 6602
16.9706 1.023871447608979e-41 7130
17.6777 1.447101552409659e-41 8034
18.3848 2.309095006262468e-41 8606
19.0919 2.938994266503155e-41 9066
19.799 3.385527018894188e-41 9962
20.5061 3.938468855929514e-41 10550
21.2132 4.915295883667775e-41 11226
21.9203 5.741322230223681e-41 12146
22.6274 6.086234193164859e-41 12303
23.3345 6.184939036137924e-41 12584
24.0416 5.692727642423669e-41 12120
24.7487 4.936198555841588e-41 11180
25.4559 4.908406830111993e-41 11096
26.163 4.294232121944899e-41 10056
26.8701 4.047572961524382e-41 9716
27.5772 3.574347488983574e-41 8604
28.2843 3.380202815526082e-41 8060
28.9914 3.205689457088434e-41 7320
29.6985 2.893201451399484e-41 6356
30.4056 2.569387520899016e-41 5348
31.1127 2.24810658356222e-41 4308
31.8198 1.857657675442619e-41 3563
32.5269 1.318028939439496e-41 2448
33.234 1.107001948453286e-41 1868
33.9411 7.973515048909541e-42 1358
34.6482 6.107453127240827e-42 1062
35.3554 4.525418991203685e-42 776
36.0625 2.583490565952396e-42 432
36.7696 1.16002892363773e-42 200
37.4767 1.147865446269664e-42 168
38.1838 4.422119666762641e-43 56
38.8909 3.134409995395162e-44 7

0.707107 1.342909174212834e-24 18
1.41421 7.811483165830489e-24 62
2.12132 2.718650447524661e-23 98
2.82843 3.60158734111882e-23 210
3.53554 1.560633481663388e-23 350
4.24264 1.985362914534948e-23 450
4.94975 2.510989764265216e-23 602
5.65686 4.064426542657352e-24 762
6.36396 1.334901846996504e-25 1142
7.07107 9.355603526103441e-27 1250
7.77818 4.291781570105225e-27 1458
8.48528 2.491890592671519e-27 1814
9.19239 1.621950430755752e-27 2178
9.8995 2.309267605181545e-28 2498
10.6066 1.027875961387315e-29 2622
11.3137 3.901761166530954e-31 3338
12.0208 1.528050782297446e-38 3722
12.7279 1.681029524665013e-39 4170
13.435 2.926775580814458e-40 4358
14.1421 8.490155933174554e-41 5034
14.8492 3.651433486126747e-41 5714
15.5564 2.371900049465423e-41 5982
16.2635 2.239779978355892e-41 6602
16.9706 2.62824935033257e-41 7130
17.6777 3.845472664822233e-41 8034
18.3848 5.275469854779383e-41 8606
19.0919 6.527593383450625e-41 9066
19.799 7.651143348842101e-41 9962
20.5061 8.619916840696247e-41 10550
21.2132 1.010252152286349e-40 11226
21.9203 1.14548295014506e-40 12146
22.6274 1.207056210786046e-40 12303
23.3345 1.118194262702082e-40 12584
24.0416 8.790502067560308e-41 12120
24.7487 6.630722494044047e-41 11180
25.4559 5.739140716655369e-41 11096
26.163 4.373446000025257e-41 10056
26.8701 3.546661044200357e-41 9716
27.5772 2.592248436062617e-41 8604
28.2843 2.037510808865548e-41 8060
28.9914 1.693617202112613e-41 7320
29.6985 1.397958744724333e-41 6356
30.4056 1.137073289274958e-41 5348
31.1127 9.155661452876315e-42 4308
31.8198 7.568761473744874e-42 3563
32.5269 5.230371364714245e-42 2448
33.234 4.115267051425111e-42 1868
33.9411 2.864980979324038e-42 1358
34.6482 2.103643771777636e-42 1062
35.3554 1.715097129458782e-42 776
36.0625 1.007836923706241e-42 432
36.7696 4.572163839529763e-43 200
37.4767 4.334891762746739e-43 168
38.1838 1.330481395631114e-43 56
38.8909 1.394266130635875e-44 7

0.707107 1.270150941653476e-24 18
1.41421 7.052293789391143e-24 62
2.12132 2.669664303012759e-23 98
2.82843 7.696954255531751e-23 210
3.53554 1.043656665685011e-22 350
4.24264 7.317687515919831e-23 450
4.94975 6.521687300756912e-23 602
5.65686 2.649906756432946e-23 762
6.36396 2.485608546713189e-24 1142
7.07107 3.640495809045171e-26 1250
7.77818 9.944023509501177e-27 1458
8.48528 3.828049018761557e-27 1814
9.19239 1.97176780168686e-27 2178
9.8995 1.795922549143684e-28 2498
10.6066 1.106997320025578e-29 2622
11.3137 3.750192669120083e-31 3338
12.0208 2.412640134167545e-37 3722
12.7279 7.052758026634435e-39 4170
13.435 5.607679261598971e-40 4358
14.1421 1.172700539006677e-40 5034
14.8492 8.325232239171372e-41 5714
15.5564 6.514839719028018e-41 5982
16.2635 7.064802067798407e-41 6602
16.9706 8.298568366722847e-41 7130
17.6777 1.143961106303206e-40 8034
18.3848 1.709145772353167e-40 8606
19.0919 2.317147205623234e-40 9066
19.799 2.531529056637394e-40 9962
20.5061 2.9306697094983e-40 10550
21.2132 3.460776212305905e-40 11226
21.9203 4.024041505559643e-40 12146
22.6274 4.048858348413606e-40 12303
23.3345 3.84562899641605e-40 12584
24.0416 3.206422056313162e-40 12120
24.7487 2.500026084530601e-40 11180
25.4559 2.189977549376637e-40 11096
26.163 1.789819700745446e-40 10056
26.8701 1.348611567347612e-40 9716
27.5772 1.010458737243622e-40 8604
28.2843 8.137893114990829e-41 8060
28.9914 6.823212162905346e-41 7320
29.6985 5.582245966880199e-41 6356
30.4056 4.539529903356728e-41 5348
31.1127 3.646341532950675e-41 4308
31.8198 2.857653091396274e-41 3563
32.5269 1.928818413916668e-41 2448
33.234 1.512050698645866e-41 1868
33.9411 9.900251129635173e-42 1358
34.6482 8.09565833084512e-42 1062
35.3554 5.763907813544992e-42 776
36.0625 3.070826308728533e-42 432
36.7696 1.362068033782912e-42 200
37.4767 1.291165823930788e-42 168
38.1838 4.55210550183393e-43 56
38.8909 2.678112172263081e-44 7

0.707107 1.056055856812122e-22 18
1.41421 5.486692964544385e-22 62
2.12132 1.475367512503629e-21 98
2.82843 1.263390558434142e-21 210
3.53554 6.022919276637463e-22 350
4.24264 6.75756364370829e-22 450
4.94975 3.895354251651935e-22 602
5.65686 3.069620645068695e-22 762
6.36396 1.242968677591967e-23 1142
7.07107 7.453507534198489e-26 1250
7.77818 1.452818597797116e-26 1458
8.48528 6.99514618692736e-27 1814
9.19239 2.018960724957015e-27 2178
9.8995 2.173911229071911e-28 2498
10.6066 1.092059115990716e-29 2622
11.3137 3.7940248136016e-31 3338
12.0208 4.610042662391277e-37 3722
12.7279 1.267721565840581e-38 4170
13.435 8.747942613372267e-40 4358
14.1421 1.950475538143843e-40 5034
14.8492 1.708204990192673e-40 5714
15.5564 1.442946803592702e-40 5982
16.2635 1.488492132435072e-40 6602
16.9706 1.985991247463892e-40 7130
17.6777 2.768304430908513e-40 8034
18.3848 4.009227546055749e-40 8606
19.0919 4.691351768103801e-40 9066
19.799 5.415221667869042e-40 9962
20.5061 6.243444996525768e-40 10550
21.2132 7.736708125316213e-40 11226
21.9203 8.502253598614813e-40 12146
22.6274 8.739639455587728e-40 12303
23.3345 8.020756350455295e-40 12584
24.0416 6.471119233908615e-40 12120
24.7487 4.90958999172897e-40 11180
25.4559 4.203782453072984e-40 11096
26.163 3.235267855789504e-40 10056
26.8701 2.429231575995001e-40 9716
27.5772 1.73234343045748e-40 8604
28.2843 1.291779521879013e-40 8060
28.9914 1.04583249486265e-40 7320
29.6985 8.281184604886024e-41 6356
30.4056 6.778510517490295e-41 5348
31.1127 5.523009119753395e-41 4308
31.8198 4.691046258807772e-41 3563
32.5269 3.412783220223255e-41 2448
33.234 2.658336043803392e-41 1868
33.9411 1.895883582856999e-41 1358
34.6482 1.578904977462726e-41 1062
35.3554 1.236163825819419e-41 776
36.0625 6.791651797457471e-42 432
36.7696 3.282900169166569e-42 200
37.4767 2.524690948309887e-42 168
38.1838 1.101868804083035e-42 56
38.8909 9.679612363713451e-44 7

0.707107 9.259315190838255e-22 18
1.41421 3.554984082713168e-21 62
2.12132 8.078608675640585e-21 98
2.82843 4.744902536987398e-21 210
3.53554 1.038913314072767e-21 350
4.24264 1.143139320936809e-21 450
4.94975 2.14269843755018e-21 602
5.65686 7.768262349971287e-21 762
6.36396 2.584447541679229e-22 1142
7.07107 5.586421124337082e-25 1250
7.77818 5.611438064252345e-26 1458
