1:binCentralValue 2:valuesAverage 3:multiplicity
19.5 2.21015017249332e-44 428
19.75 2.446431764011206e-44 456
20 1.330995946156636e-44 248
20.25 6.071104164464437e-45 104
20.5 6.148217707180186e-46 18
20.75 3.820686756517658e-46 7

0.25 1.010506161195102e-26 18
0.5 6.874845211744004e-27 62
0.75 7.597639491697709e-27 98
1 5.491070844577141e-26 210
1.25 1.262417301824125e-25 350
1.5 8.305487853472194e-26 450
1.75 3.289278455443733e-26 602
2 3.109464570757272e-25 762
2.25 1.74424123895798e-25 1142
2.5 1.857809946247768e-26 1250
2.75 4.883784168347989e-27 1458
3 5.783216408832565e-27 1814
3.25 4.479200209528792e-27 2178
3.5 3.011431664665714e-27 2498
3.75 2.418990110075524e-27 2622
4 2.838404937060227e-27 3338
4.25 2.690572275796491e-27 3722
4.5 2.917004699898773e-27 4170
4.75 2.781778804831558e-27 4358
5 1.877236022879535e-27 5034
5.25 1.270455116930492e-27 5714
5.5 9.804212240083384e-28 5982
5.75 8.949014778894626e-28 6602
6 6.843080513767237e-28 7130
6.25 4.747440942980689e-28 8034
6.5 2.871725365201762e-28 8606
6.75 1.697505528799795e-28 9066
7 9.808868299165858e-29 9962
7.25 4.994303858660014e-29 10550
7.5 2.129735038537047e-29 11226
7.75 6.435695490711686e-30 12146
8 2.258688631183128e-31 12606
8.25 5.306468009211411e-40 13802
8.5 3.642113633487335e-40 14754
8.75 1.958944703960138e-40 15194
9 1.069366096277985e-40 16454
9.25 6.669012872497497e-41 17154
9.5 5.260788180370975e-41 18266
9.75 4.163827807369535e-41 18750
10 3.339768482546473e-41 20234
10.25 2.417578013961213e-41 21450
10.5 1.61990290906664e-41 21962
10.75 1.039958040080944e-41 23462
11 5.861862404675966e-42 24042
11.25 2.669692635984762e-42 25946
11.5 9.854404784100738e-43 26118
11.75 5.501929635658767e-43 27506
12 5.416439158261761e-43 28631
12.25 5.623409549277924e-43 28596
12.5 5.602924722841166e-43 27848
12.75 5.580278240326913e-43 26544
13 5.907708941155259e-43 26456
13.25 5.732033226882514e-43 25284
13.5 5.854465299419046e-43 24260
13.75 5.858200905833767e-43 23312
14 5.942727411658744e-43 22368
14.25 6.020908756783036e-43 21872
14.5 5.986699924391958e-43 20400
14.75 5.826950557639614e-43 19040
15 5.737910834029452e-43 18252
15.25 5.649886316258049e-43 16760
15.5 5.639842382119833e-43 15776
15.75 5.04355655346101e-43 13704
16 5.051185573673936e-43 13112
16.25 4.717345045488601e-43 11652
16.5 4.184077859471833e-43 9776
16.75 3.749431882670282e-43 8448
17 3.069505292891974e-43 7013
17.25 2.506721384883828e-43 5546
17.5 2.241798248368841e-43 4722
17.75 1.840720678524069e-43 3782
18 1.514817860979118e-43 3174
18.25 1.340574569249209e-43 2582
18.5 9.774581356572843e-44 1928
18.75 8.800502786104954e-44 1662
19 6.159670981397141e-44 1256
19.25 4.527731626064543e-44 864
19.5 2.403812037168586e-44 428
19.75 2.590696990236045e-44 456
20 1.388821474123011e-44 248
20.25 6.267999580691428e-45 104
20.5 6.901829978793468e-46 18
20.75 2.880374048760672e-46 7

0.25 1.250674237809035e-24 18
0.5 3.700720796699501e-24 62
0.75 2.241238159988242e-24 98
1 2.038954719087624e-24 210
1.25 9.960051806158863e-25 350
1.5 3.192518242348226e-25 450
1.75 8.80594369652766e-24 602
